Name,Grade,G3,target
Aishwarya,0,17,1
Rahul,1,13,1
Priya,0,19,1
Ankit,2,10,1
Sneha,1,14,1
Riya,0,18,1
Karan,2,9,0
Aman,1,13,1
Neha,1,16,1
Vikram,0,17,1
Pooja,0,17,1
Rohan,0,17,1
Divya,2,10,1
Arjun,2,10,1
Kavya,2,9,0
Siddharth,0,18,1
Meera,1,16,1
Rajesh,0,18,1
Anjali,0,20,1
Vivek,1,15,1
Shreya,0,17,1
Nikhil,0,18,1
Tanvi,1,16,1
Aditya,1,15,1
Isha,0,19,1
Manoj,1,14,1
Swati,2,10,1
Harsh,0,19,1
Pallavi,2,9,0
Yash,2,9,0
Deepika,1,16,1
Suresh,0,17,1
Nisha,3,7,0
Gaurav,1,15,1
Anita,0,19,1
Vishal,0,17,1
Radhika,2,12,1
Kunal,1,13,1
Sonia,2,12,1
Amit,2,9,0
Preeti,1,15,1
Rakesh,3,7,0
