Name,G3,target,Grade_A,Grade_B,Grade_C,Grade_D
Aishwarya,17,1,1,0,0,0
Rahul,13,1,0,1,0,0
Priya,19,1,1,0,0,0
Ankit,10,1,0,0,1,0
Sneha,14,1,0,1,0,0
Riya,18,1,1,0,0,0
Karan,9,0,0,0,1,0
Aman,13,1,0,1,0,0
Neha,16,1,0,1,0,0
Vikram,17,1,1,0,0,0
Pooja,17,1,1,0,0,0
Rohan,17,1,1,0,0,0
Divya,10,1,0,0,1,0
Arjun,10,1,0,0,1,0
Kavya,9,0,0,0,1,0
Siddharth,18,1,1,0,0,0
Meera,16,1,0,1,0,0
Rajesh,18,1,1,0,0,0
Anjali,20,1,1,0,0,0
Vivek,15,1,0,1,0,0
Shreya,17,1,1,0,0,0
Nikhil,18,1,1,0,0,0
Tanvi,16,1,0,1,0,0
Aditya,15,1,0,1,0,0
Isha,19,1,1,0,0,0
Manoj,14,1,0,1,0,0
Swati,10,1,0,0,1,0
Harsh,19,1,1,0,0,0
Pallavi,9,0,0,0,1,0
Yash,9,0,0,0,1,0
Deepika,16,1,0,1,0,0
Suresh,17,1,1,0,0,0
Nisha,7,0,0,0,0,1
Gaurav,15,1,0,1,0,0
Anita,19,1,1,0,0,0
Vishal,17,1,1,0,0,0
Radhika,12,1,0,0,1,0
Kunal,13,1,0,1,0,0
Sonia,12,1,0,0,1,0
Amit,9,0,0,0,1,0
Preeti,15,1,0,1,0,0
Rakesh,7,0,0,0,0,1
